Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_g_full_test.pt
164504: 0.12856599086896026
166476: 0.6109205245801093
214308: 0.31197610465460457
210400: 0.9699353135656565
186388: 0.002439166279280869
157520: 9.178120454217257e-08
171871: 0.0052208824582962166
95730: 0.30261600972035296
86955: 0.8019428925033836
59218: 0.15862412602291442
210183: 0.19272264572236253
47297: 0.0012861027543884518
120787: 0.8533784323444706
144261: 0.13727636542793675
209867: 2.8217451024659113e-06
214697: 0.5562603104770361
72734: 0.0011397633361092119
62430: 0.12564780673691445
180698: 0.9037259154863833
4026: 0.03762668487497933
36868: 0.04848593970991999
64099: 0.0005564861365421336
192232: 2.889858020785072e-05
114795: 0.2688765521149463
39505: 0.0001689657768721986
149797: 0.47140579566516294
116747: 0.0013481986522709901
48465: 0.8213634783545959
45429: 0.6483838668935178
145090: 0.009853395068984416
183973: 0.005766598341438112
42367: 6.790019847446871e-05
69126: 8.208974446688444e-05
75125: 0.017563535475273118
52775: 0.042287453431448796
205873: 0.0007170161363454497
115644: 0.0003192999174217448
190527: 0.02231944171293776
56553: 0.015179468304076238
168990: 0.014147420937469235
62225: 0.013141376962124696
153507: 0.0013783608145274684
186952: 0.7708333429325549
184917: 0.7947185487862853
134946: 0.01045126083209258
141757: 0.3896565929169711
170749: 0.00017398782798849766
96676: 0.020530681337699974
127755: 0.6884572209235458
194192: 0.9282457205843357
205758: 1.2221019982661119e-06
44551: 0.5547334252767442
90056: 0.6425732631612746
155132: 0.8654406998682944
55232: 7.559422461413917e-05
164740: 0.21886174958471116
62941: 1.9485933577809909e-07
37797: 0.38081730531101954
167549: 0.0025068893628934497
Finished: scm_256, ins, most_first, sthsthv2, r50l, g, #Step=128
Average: 0.2194936191901399
Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_ig_full_test.pt
Use 4 GPUs!
139242: 0.12658119260490253
208136: 0.00018888096487668093
77933: 0.5221607849611419
60678: 0.0007697000247786079
125118: 0.628546272957692
133738: 0.012980013787585953
104179: 0.0004072837346766889
141930: 0.29039064179213625
58849: 0.38740405758121454
9116: 2.2219589874694634e-06
18518: 0.17387621031929257
208019: 0.0008297097484897265
59701: 0.6948629535179762
160867: 0.001056581034614752
120824: 0.3302059405937703
19680: 0.19498858148379014
206826: 0.02971675032326271
79321: 0.0005636826329329658
