Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core8_fade_test_summed.pt
P26_10_32236-pick-up-pot: 0.005713684859074419
P26_10_32241-put-pot: 0.00188733136474184
P26_10_32247-open-fridge: 0.6511993385283859
P26_12_32292-close-lid: 0.8490147369884653
P26_13_32297-open-lid: 0.9206571451359196
P26_13_32317-put-down-spoon: 0.5089772173414531
P26_13_32319-put-lid: 0.9196027152211173
P26_17_32347-take-spoon: 0.6356971345703641
P26_17_32353-put-down-plate: 0.8330847269389778
P26_18_32372-take-plate: 0.0914845677325502
P26_19_32404-pick-up-pot: 0.002373453051291108
P26_19_32434-put-down-glass: 0.21522243725485168
P26_19_32490-pick-up-pot: 0.09827962791314349
P26_19_32492-put-pot: 0.3046023002243601
P26_21_32505-close-cupboard: 0.32529778193566017
P26_28_32674-grab-fork: 0.0004606097676855825
P26_29_32690-put-lid: 0.6918947841477348
P27_01_32893-pick-up-fork: 0.0708370301836112
P27_04_33002-place-sponge: 0.0367014153071068
P27_06_33144-pick-up-spoon: 0.7682059895923885
P27_06_33145-pick-up-fork: 0.04403496461600298
P27_07_33177-take-cloth: 0.002018412143002024
P27_07_33257-turn-on-tap: 0.40365030139219016
P28_01_33343-put-down-pan: 0.37553113866306376
P28_02_33398-put-down-spatula: 0.09946540510827617
P28_02_33400-wash-knife: 0.6578037135695922
P28_02_33474-turn-on-tap: 0.5071590257575735
P28_02_33479-turn-on-tap: 0.6222658917540684
P28_02_33489-turn-on-tap: 0.029082309380100924
P28_03_33614-peel-potato: 0.767597060330445
P28_03_33621-turn-off-tap: 0.03698875321424566
P28_04_33682-cut-potato: 0.42333903317921795
P28_05_33779-put-down-knife: 0.4921659163592267
P28_06_33862-take-knife: 0.47963394247199176
P28_06_33958-take-spoon: 0.08927458075413597
P28_08_34040-wash-knife: 0.31738489912095247
P28_09_34091-open-fridge: 0.8358307774542482
P28_09_34141-turn-on-tap: 0.5040504854405299
P28_13_34301-put-pan: 0.9489770415675594
P28_14_34393-put-down-sponge: 0.7109413975776988
P28_14_34394-turn-on-tap: 0.22587545530404896
P28_14_34396-turn-off-tap: 0.09182463062461466
P29_01_34867-chop-onion: 0.6613293373229681
P29_01_34868-chop-onion: 0.7009849382302491
P29_01_34877-chop-onion: 0.5681230923364637
P29_01_34902-chop-onion: 0.6409713471512077
P29_02_35181-move-fork: 0.1457800464995671
P29_02_35206-open-drawer: 0.8758421879465459
P29_03_35254-put-down-glass: 0.8189959671290126
P29_03_35265-close-cupboard: 0.4058970514743123
P29_03_35296-move-pan: 0.47008502813696396
P29_03_35335-pick-up-spatula: 0.5727020855683804
P29_03_35355-pick-up-fork: 0.5246943719976116
P29_03_35439-pick-up-bowl: 0.43084307667868416
P29_03_35461-rinse-bowl: 0.08784104116330127
P29_03_35497-scour-knife: 0.00081004717731048
P29_03_35528-pick-up-plate: 0.3778924588114023
P29_03_35562-scour-spatula: 0.25668170230164833
